player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,4,5,3,4,4,3,4,5,36,4,3,4,5,4,4,3,5,4,36,72,
kurabayashi-kurenai,1,＠倉林 紅,4,4,4,2,3,4,4,3,5,33,6,3,4,4,3,3,3,5,3,34,67,-5
kamiya-momouta,2,＠神谷 桃歌,4,5,4,3,4,4,3,4,5,36,4,3,4,5,3,4,3,4,3,33,69,-3
yokoyama-shu(kurikaesi)na,2,＠横山 珠々奈,3,4,4,3,5,4,2,5,5,35,4,3,4,4,4,4,3,4,4,34,69,-3
sasaki-rino,4,佐々木 理乃,4,4,5,3,5,4,3,3,5,36,4,2,4,4,4,4,3,4,5,34,70,-2
okada-risa,4,岡田 梨沙,4,5,4,3,4,4,3,3,5,35,3,3,4,5,4,5,3,4,4,35,70,-2
yabushita-mai,4,薮下 真衣,4,5,5,2,4,4,4,3,5,36,4,3,3,4,3,4,4,4,5,34,70,-2
abe-mirai,4,阿部 未来,4,4,5,2,4,4,3,4,4,34,5,3,4,5,4,4,3,5,3,36,70,-2
kajiyama-marina,4,梶山 万里奈,5,4,5,2,4,4,3,3,4,34,4,2,4,5,4,4,4,5,4,36,70,-2
kojima-ayaka,9,小島 彩夏,6,4,5,2,4,5,2,5,4,37,4,3,4,4,4,4,2,4,5,34,71,-1
tadokoro-misaki,9,田所 美沙樹,5,5,5,3,4,4,3,4,4,37,4,2,4,4,4,3,4,5,4,34,71,-1
shimabukuro-hino,9,島袋 ひの,4,4,4,4,3,4,3,3,5,34,4,3,4,7,3,4,3,5,4,37,71,-1
aisawa-nao,9,逢澤 菜央,4,4,5,3,4,4,3,5,5,37,4,3,3,5,4,4,3,4,4,34,71,-1
fujikawa-reina,9,藤川 玲奈,4,4,5,2,4,4,2,4,5,34,5,3,5,6,4,3,3,4,4,37,71,-1
kuwamura-miho,9,＠桑村 美穂,5,5,4,3,4,5,3,4,4,37,4,2,4,5,3,3,3,5,5,34,71,-1
suzuki-yume,9,＠鈴木 優芽,4,5,5,2,4,4,3,4,5,36,4,3,3,5,4,4,4,4,4,35,71,-1
sakai-ryuuna,16,坂井 留奈,4,5,5,3,3,5,3,4,5,37,3,3,4,5,4,4,3,5,4,35,72,0
suzuki-keiko,16,鈴木 惠子,5,4,5,4,4,5,3,4,4,38,4,3,4,5,4,4,3,4,3,34,72,0
yoshino-saki,16,吉野 早紀,4,4,5,3,4,4,3,4,5,36,4,3,4,5,4,4,2,5,5,36,72,0
yoshimura-yuna,16,吉村 悠菜,3,4,6,3,4,4,3,3,5,35,5,2,4,4,4,4,3,6,5,37,72,0
yuuna,16,髙久 ゆうな,5,5,5,3,3,4,3,4,4,36,4,3,4,5,3,5,3,5,4,36,72,0
tanaka-shuran,16,＠田中 珠蘭,3,5,4,4,4,4,4,4,5,37,3,5,4,4,4,4,3,4,4,35,72,0
hayakawa-natsumi,16,早川 夏未,4,4,5,3,4,4,2,4,5,35,4,4,4,5,4,4,3,5,4,37,72,0
morohashi-aina,16,諸橋 愛奈,4,4,5,2,5,4,3,5,4,36,4,3,4,4,4,4,3,5,5,36,72,0
shintani-me(kurikaesi),16,＠新谷 芽々,4,5,4,3,4,5,3,3,4,35,4,3,5,6,3,4,4,4,4,37,72,0
itou-biteru,16,＠伊藤 美輝,4,5,6,3,4,4,4,4,4,38,3,3,3,5,3,4,3,5,5,34,72,0
suzuki-nou(kurikaesi)ko,16,＠鈴木 能々子,4,4,5,3,4,4,4,4,5,37,5,2,4,5,4,3,3,5,4,35,72,0
