player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,4,5,4,3,4,3,5,4,36,4,4,3,5,4,4,3,4,5,36,72,
yokoyama-shu(kurikaesi)na,1,@横山 珠々奈,3,4,5,3,2,4,2,5,4,32,4,3,2,5,4,4,3,4,4,33,65,-7
yamaguchi-rio,2,山口 里緒,3,3,5,5,3,4,2,5,3,33,4,4,2,5,4,4,3,3,5,34,67,-5
takagi-rion,2,@高木 りおん,3,4,4,4,3,4,2,5,3,32,4,4,3,5,5,3,3,3,5,35,67,-5
kawamura-kurumi,4,河村 来未,4,4,4,4,3,4,4,4,4,35,4,4,3,5,3,3,3,3,5,33,68,-4
chinju-aika,5,鎮守 愛佳,4,5,5,3,3,3,3,4,4,34,4,5,3,4,3,4,3,4,5,35,69,-3
kamiya-wasou,5,神谷 和奏,3,4,5,4,2,4,3,5,4,34,4,3,2,5,4,4,3,4,6,35,69,-3
matsuoka-hana,5,松岡 華,4,4,6,4,2,5,3,5,4,37,4,3,2,4,4,4,3,4,4,32,69,-3
nabeshima-umiryou,8,鍋島 海良,4,4,5,4,3,4,3,4,4,35,4,3,2,5,5,4,3,4,5,35,70,-2
wakui-mayu,8,和久井 麻由,4,5,5,4,3,4,3,5,4,37,4,3,3,4,4,4,3,4,4,33,70,-2
wada-junrei,8,和田 純怜,5,3,4,4,4,4,3,5,4,36,4,4,2,5,4,4,3,3,5,34,70,-2
nakano-erihana,8,中野 恵里花,4,4,5,4,3,4,3,5,3,35,4,3,3,4,3,5,3,4,6,35,70,-2
satou-anzuri,8,@佐藤 杏莉,4,4,5,4,4,4,3,4,3,35,4,4,3,5,4,3,4,3,5,35,70,-2
oomura-minami,8,大村 みなみ,4,4,6,5,3,4,3,5,4,38,4,3,3,5,4,3,3,4,3,32,70,-2
yoshizawa-yuzugatsu,14,@吉澤 柚月,4,4,4,5,3,3,3,5,5,36,4,4,3,5,4,4,3,4,4,35,71,-1
saitou-manami,14,齊藤 愛美,4,4,6,4,2,5,3,5,4,37,4,4,3,4,4,3,3,4,5,34,71,-1
tadokoro-misaki,14,田所 美沙樹,5,4,5,4,3,4,3,5,5,38,4,4,2,5,4,3,2,4,5,33,71,-1
nakatani-aijun,14,@中谷 愛純,4,4,5,4,3,5,3,5,4,37,5,3,2,4,5,4,3,4,4,34,71,-1
shintani-me(kurikaesi),14,@新谷 芽々,3,4,5,4,3,4,3,5,5,36,4,4,2,5,4,4,3,4,5,35,71,-1
matsuzaki-maya,14,松崎 麻矢,3,4,5,4,4,4,3,5,4,36,4,4,3,4,4,4,3,4,5,35,71,-1
mori-hana,14,森 はな,4,4,5,4,3,4,3,5,4,36,4,4,2,5,6,3,3,4,4,35,71,-1
kashiwabara-mizuki,14,@柏原 瑞季,4,5,4,4,3,4,3,6,4,37,4,4,3,5,3,4,3,4,4,34,71,-1
kitsutani-ayaka,14,吉津谷 彩香,3,4,5,4,3,4,3,5,4,35,5,3,2,5,4,4,3,4,6,36,71,-1
ikehane-youkou,23,池羽　陽向,4,4,5,3,3,4,3,5,4,35,4,5,3,5,4,4,2,5,5,37,72,0
chida-moeka,23,@千田 萌花,4,4,4,5,3,4,2,5,4,35,5,4,3,5,4,4,3,4,5,37,72,0
kuwamura-miho,23,@桑村 美穂,4,4,4,5,3,4,3,5,3,35,4,5,3,6,3,4,3,4,5,37,72,0
sugita-miki,23,杉田 美紀,4,4,5,4,3,4,3,5,4,36,4,3,3,6,4,4,3,4,5,36,72,0
horiuchi-meiri,23,堀内 明莉,5,3,5,4,3,4,3,5,4,36,4,5,3,5,4,4,3,4,4,36,72,0
nitta-yuuki,23,新田 有希,3,4,6,4,3,4,4,5,4,37,4,4,4,5,4,4,2,4,4,35,72,0
