player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,,4,4,3,4,5,3,4,5,4,36,4,5,4,4,3,4,4,3,5,36,72,-
hiratsuka-shinyume,1,平塚 新夢,5,4,4,6,2,4,3,5,4,37,4,3,3,4,3,3,3,3,5,31,68,-4
satou-anzuri,2,＠佐藤 杏莉,4,3,6,5,2,3,3,5,3,34,3,4,3,5,4,4,3,4,5,35,69,-3
kouriyama-hitomi,2,郡山 瞳,4,3,5,5,3,4,3,4,4,35,4,4,3,4,4,5,2,4,4,34,69,-3
kuze-natsunokaori,4,久世 夏乃香,4,4,4,5,3,4,2,5,4,35,4,3,3,5,4,4,3,4,5,35,70,-2
suzuki-himeryuu,4,＠鈴木 姫琉,4,3,4,5,3,4,3,5,5,36,4,3,3,5,4,4,4,3,4,34,70,-2
haga-sachihitomi,4,＠芳賀 幸瞳,4,4,5,4,3,4,3,5,3,35,3,4,3,5,5,4,3,3,5,35,70,-2
usui-ranze,4,＠臼井 蘭世,4,4,4,5,3,4,3,5,4,36,3,4,3,5,4,4,3,4,4,34,70,-2
aoi-asago,8,青井 麻瑚,4,4,5,4,4,4,3,5,5,38,3,4,3,5,4,4,2,4,4,33,71,-1
sasahara-yumi,8,笹原 優美,4,3,5,4,3,4,4,4,5,36,4,4,2,5,3,5,3,4,5,35,71,-1
abe-mirai,8,阿部 未来,4,4,5,4,4,4,3,4,3,35,4,3,3,5,4,4,3,5,5,36,71,-1
onuki-rei,8,小貫 麗,4,4,5,4,4,4,3,5,4,37,4,4,3,5,4,4,3,3,4,34,71,-1
wakimoto-sakura,8,脇元 桜,4,3,5,4,2,4,3,5,4,34,4,4,3,5,4,4,3,5,5,37,71,-1
kamiya-mio,8,神谷 美緒,4,4,4,5,3,3,3,5,4,35,4,4,3,4,4,5,3,4,5,36,71,-1
kawabata-yuuna,14,＠川畑 優菜,4,4,5,4,4,4,3,5,4,37,3,3,4,4,4,5,3,4,5,35,72,0
yamawaki-airi,14,＠山脇 愛璃,4,4,5,4,3,4,3,5,4,36,5,3,4,5,4,4,3,4,4,36,72,0
yamamoto-yuka,14,＠山本 優花,5,4,5,4,2,3,2,4,6,35,4,4,3,5,5,4,3,3,6,37,72,0
watanabe-shiori,14,渡邊 詩織,4,4,5,4,4,4,3,5,4,37,3,4,4,5,4,4,3,4,4,35,72,0
takada-yuukisaki,14,＠高田 優妃,4,4,4,4,3,4,2,5,5,35,4,4,3,5,5,4,3,4,5,37,72,0
chida-moeka,14,千田 萌花,4,6,4,4,3,4,3,4,4,36,4,4,4,5,4,4,3,4,4,36,72,0
ikehane-youkou,20,池羽 陽向,5,4,5,4,3,4,4,5,5,39,3,4,3,4,4,4,3,4,5,34,73,1
nishizawa-hohitsuji,20,＠西澤 歩未,4,3,5,5,3,4,3,5,4,36,4,4,2,5,5,4,4,4,5,37,73,1
morimoto-ten,20,森本 天,4,4,4,4,3,5,3,5,4,36,4,4,4,5,3,4,3,4,6,37,73,1
tanaka-shuran,20,＠田中 珠蘭,4,4,4,5,3,4,3,5,4,36,4,4,4,5,4,4,3,4,5,37,73,1
aoki-kanako,20,青木 香奈子,5,5,5,4,3,4,4,4,4,38,4,4,3,5,4,4,3,4,4,35,73,1
shimada-sa,20,島田 紗,4,4,5,4,4,4,3,5,4,37,4,4,3,5,4,4,3,4,5,36,73,1
nabeshima-umiryou,20,鍋島 海良,4,4,4,4,4,4,3,5,4,36,5,4,3,4,4,5,3,4,5,37,73,1
takaku-yuuna,20,高久 ゆうな,5,5,4,4,2,4,3,4,4,35,4,4,3,5,5,5,3,4,5,38,73,1
yomura-saiyakaori,20,四村 彩也香,4,5,4,5,3,4,3,4,4,36,4,4,5,4,4,4,2,4,6,37,73,1
shintani-me(kurikaesi),20,＠新谷 芽々,4,6,6,4,3,4,3,4,4,38,4,5,2,5,4,4,2,5,4,35,73,1
maruyama-sukekaori,20,　丸山　祐香,4,4,5,5,3,4,3,5,4,37,4,4,3,5,4,4,3,5,4,36,73,1
nakagawa-rika,31,中川 梨華,4,5,7,4,3,4,3,5,4,39,5,4,3,4,3,5,3,4,4,35,74,2
nagata-kanae,31,＠永田 加奈恵,4,5,5,5,4,4,3,5,4,39,3,4,3,5,5,5,2,4,4,35,74,2
kojima-ayaka,31,小島 彩夏,4,8,4,4,3,5,3,4,4,39,4,4,2,5,4,4,2,4,6,35,74,2
yabushita-mai,31,薮下 真衣,4,4,6,6,4,4,3,5,4,40,4,4,2,5,4,4,2,4,5,34,74,2
mori-hana,31,森 はな,4,5,4,6,3,5,3,4,4,38,4,4,3,5,4,4,3,4,5,36,74,2
enkaku-yuuki,31,円角 有希,4,5,5,3,3,5,3,5,4,37,4,4,4,5,4,4,2,5,5,37,74,2
kokutou-satsuki,31,谷頭 さつき,5,4,5,4,3,4,3,5,4,37,4,4,3,6,4,4,3,4,5,37,74,2
shimabukuro-hino,31,島袋 ひの,4,5,6,5,3,4,3,5,4,39,3,3,3,5,5,4,3,4,5,35,74,2
wada-junrei,31,和田 純怜,4,4,5,4,4,4,4,4,4,37,4,3,4,5,5,4,3,4,5,37,74,2
kobayashi-kyouka,31,小林 京加,4,4,5,5,3,4,3,4,4,36,4,4,3,5,5,4,5,4,4,38,74,2
morita-shuuko,31,森田 就子,5,4,4,5,3,4,4,5,5,39,4,4,4,4,3,4,3,4,5,35,74,2
yamaguchi-rio,31,山口 里緒,4,4,5,4,3,4,3,5,4,36,5,4,3,5,4,5,3,4,5,38,74,2
nakazawa-rurai,31,＠中澤 瑠来,4,4,4,4,3,4,3,6,4,36,4,4,3,5,5,4,3,4,6,38,74,2
tsuboi-yuukaori,31,坪井 悠香,5,4,5,6,4,5,3,4,5,41,4,3,3,5,3,4,3,3,5,33,74,2
kumakura-riko,45,熊倉 莉子,5,4,5,5,3,5,3,5,4,39,4,3,4,5,4,4,3,5,4,36,75,3
matsuoka-hana,45,松岡 華,5,4,4,4,3,4,3,6,5,38,4,4,3,5,3,5,4,5,4,37,75,3
sumihara-miyu,45,隅原 実優,5,5,5,4,3,4,3,6,4,39,4,4,3,5,3,5,3,4,5,36,75,3
ueda-rina,45,植田 梨奈,5,4,5,5,3,4,3,5,4,38,4,3,3,5,4,4,4,5,5,37,75,3
ukai-momo,45,鵜飼 桃,5,4,5,5,3,4,4,4,4,38,5,4,3,4,5,4,3,4,5,37,75,3
shin-akari,45,＠秦 あかり,4,4,7,4,3,4,3,5,4,38,4,4,3,5,5,4,3,4,5,37,75,3
hasegawa-manami,51,＠長谷川　愛美,4,5,5,4,4,4,4,5,5,40,4,4,3,5,3,5,3,4,5,36,76,4
akamatsu-nagisa,51,＠赤松 渚,5,5,5,4,3,5,4,5,3,39,4,4,3,5,4,4,3,4,6,37,76,4
