player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,4,4,4,3,4,5,4,3,5,36,5,4,3,4,5,3,4,4,4,36,72,
arakawa-yuuna,1,荒川 侑奈,3,3,4,3,3,4,4,3,4,31,5,4,2,5,5,3,4,5,5,38,69,-3
wakui-mayu,2,和久井 麻由,3,3,4,3,4,5,4,3,5,34,4,4,3,3,4,5,4,5,4,36,70,-2
sakata-raikaori,3,坂田 來香,5,4,3,3,3,6,4,3,5,36,4,4,3,4,4,3,4,5,4,35,71,-1
yamamoto-yuka,3,＠山本 優花,4,4,4,4,3,4,4,3,5,35,4,3,3,5,5,4,4,4,4,36,71,-1
sakairyuuna,5,坂井留奈,4,4,5,3,4,5,5,3,4,37,5,3,3,5,5,3,3,4,4,35,72,0
sekiguchi-heki,5,＠関口 碧,4,3,5,3,4,5,4,4,5,37,5,4,3,4,6,3,3,4,3,35,72,0
fukaya-kotono,5,深谷 琴乃,4,4,3,2,4,5,5,4,4,35,5,4,3,4,5,3,4,4,5,37,72,0
hayakawa-natsumi,8,早川 夏未,4,4,4,3,4,5,4,4,5,37,5,3,3,4,6,3,4,5,3,36,73,1
omata-yuzuha,8,＠小俣 柚葉,4,3,4,3,3,5,5,4,5,36,5,4,3,4,4,5,4,4,4,37,73,1
fujikawa-reina,8,藤川 玲奈,5,3,4,3,4,4,5,3,6,37,5,4,3,4,5,3,4,4,4,36,73,1
hiratsuka-shinyume,8,平塚 新夢,4,3,4,3,4,5,4,3,4,34,4,4,3,4,6,5,4,4,5,39,73,1
kuwamura-miho,12,＠桑村 美穂,4,4,4,2,4,5,4,3,5,35,5,5,3,4,5,5,4,4,4,39,74,2
nishiyama-miki,12,西山 美希,4,4,5,3,5,4,4,3,5,37,5,5,3,4,5,2,4,5,4,37,74,2
hasegawa-manami,12,＠長谷川 愛美,4,4,5,3,4,5,4,3,4,36,4,5,3,5,5,4,4,4,4,38,74,2
sasahara-yumi,12,笹原 優美,4,4,4,2,4,7,5,4,4,38,5,4,3,4,5,2,4,5,4,36,74,2
inoue-nagisa,12,井上 渚,4,4,5,4,4,5,4,4,5,39,4,5,2,4,4,3,4,5,4,35,74,2
shimabukuro-hino,12,島袋 ひの,4,5,4,3,4,5,4,3,5,37,4,4,3,5,5,5,4,3,4,37,74,2
kobayashi-shouna,12,＠小林 照菜,4,3,5,3,4,4,5,3,5,36,5,5,4,4,5,3,3,4,5,38,74,2
ezawa-aki,12,江澤 亜季,4,4,4,3,4,4,4,3,5,35,4,4,4,4,5,4,4,5,5,39,74,2
