player_id,rank,name,h1,h2,h3,h4,h5,h6,h7,h8,h9,out,h10,h11,h12,h13,h14,h15,h16,h17,h18,in,total,score
master,PAR,PAR,5,4,4,3,4,5,3,4,4,36,4,3,5,4,4,4,3,4,5,36,72,
player-t10-001,1,森田就子,4,3,4,3,4,5,2,5,3,33,5,2,5,4,4,4,2,3,5,34,67,-5
player-t10-002,2,柳藍佳,4,4,4,3,3,5,3,4,4,34,4,3,5,3,4,3,2,4,5,33,67,-5
player-t10-003,3,谷頭さつき,4,4,3,2,4,5,3,4,4,33,4,3,5,4,4,3,3,4,5,35,68,-4
player-t10-004,3,吉田莉生,4,3,4,2,4,5,3,4,4,33,4,3,6,4,5,3,2,4,4,35,68,-4
player-t10-005,5,久世夏乃香,5,3,4,3,4,5,3,4,3,34,4,3,4,5,4,4,3,3,5,35,69,-3
player-t10-006,5,@中村好花,5,4,5,3,4,4,2,3,3,33,4,4,5,5,5,3,1,4,5,36,69,-3
player-t10-007,5,@塩路千尋,4,4,4,3,4,5,3,4,4,35,4,3,5,3,4,3,3,4,5,34,69,-3
player-t10-008,5,@井澤優,5,4,4,3,4,4,3,3,4,34,4,3,5,4,4,4,3,4,4,35,69,-3
player-t10-009,5,小島彩夏,5,3,3,3,4,5,3,4,4,34,3,3,5,5,4,4,2,4,5,35,69,-3
player-t10-010,5,渡邊詩織,5,4,4,3,4,5,3,4,4,36,4,3,5,3,3,4,3,4,4,33,69,-3
player-t10-011,5,@菊田ひな,5,4,4,3,4,4,3,4,5,36,4,3,4,4,4,4,2,4,4,33,69,-3
player-t10-012,12,@高木りおん,6,3,4,3,3,5,3,4,3,34,4,3,5,4,4,6,2,4,4,36,70,-2
player-t10-013,12,竹ノ内南,5,4,5,3,4,5,3,4,4,37,3,3,4,4,4,4,2,4,5,33,70,-2
player-t10-014,12,長田莉子,5,4,4,3,4,5,3,4,4,36,4,2,4,4,4,4,3,4,5,34,70,-2
player-t10-015,12,向井七海,5,4,4,3,4,5,4,3,3,35,3,3,5,5,4,4,3,4,4,35,70,-2
player-t10-016,12,佐藤美優,5,5,4,2,4,4,2,5,4,35,4,3,5,5,3,3,3,4,5,35,70,-2
player-t10-017,12,@橋本美月,5,3,4,3,4,5,3,4,4,35,4,3,5,4,4,4,2,4,5,35,70,-2
player-t10-018,12,江河鈴,5,4,3,4,3,5,4,4,4,36,3,3,6,4,3,4,2,4,5,34,70,-2
player-t10-019,12,村上陽菜,5,4,4,3,4,4,3,3,4,34,4,3,5,4,4,4,2,5,5,36,70,-2
player-t10-020,12,井手絵愛里,5,4,4,3,4,6,3,4,4,37,4,3,4,3,4,4,3,3,5,33,70,-2
player-t10-021,12,@川端悠衣,5,4,4,3,4,4,3,4,5,36,5,2,5,4,4,3,2,4,5,34,70,-2
